"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
        Test that newly loaded content is different from initial content.
        ","1285","test_new_content_is_different[chromium]","tests","2026-08-05","passed","2026-08-05","TestInfiniteScrollPage","test_infinite_scroll_page","",""
"
        Test that hovering over User 1 image shows the caption.
        ","1348","test_user_1_caption_visible_on_hover[chromium]","tests","2026-08-05","passed","2026-08-05","TestHoversPage","test_hovers_page","",""
"
        Test that a checkbox can be toggled from unchecked to checked and back.
        ","2000","test_toggle_checkbox[chromium]","tests","2026-08-05","passed","2026-08-05","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test invalid email format shows validation error.
        ","1469","test_invalid_email_shows_error[chromium]","tests","2026-08-05","passed","2026-08-05","TestInputsPage","test_inputs_page","",""
"
        Test that the instruction text is visible.
        ","884","test_instruction_text_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that selecting a vegetable from the simple dropdown updates the confirmation text.
        ","1990","test_simple_dropdown_select_vegetable[chromium]","tests","2026-08-05","passed","2026-08-05","TestDropdownPage","test_dropdown_page","",""
"
        Test that clicking the sign up button on the active A/B version
        shows a confirmation toast.
        ","1900","test_signup_displays_confirmation_toast[chromium]","tests","2026-08-05","passed","2026-08-05","TestABTestingPage","test_ab_testing_page","",""
"
        Test that after dropping the item in column B, it is a child of column B.
        ","1407","test_verify_item_in_column_b_after_drop[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test empty required field shows validation error.
        ","1989","test_required_field_empty_shows_error[chromium]","tests","2026-08-05","passed","2026-08-05","TestInputsPage","test_inputs_page","",""
"
        Test that the range slider displays the default values.
        ","1391","test_range_slider_default_values[chromium]","tests","2026-08-05","passed","2026-08-05","TestHorizontalSliderPage","test_horizontal_slider_page","",""
"
        Test that all images (working and broken) are present in the DOM.
        ","798","test_all_images_are_present_in_dom[chromium]","tests","2026-08-05","passed","2026-08-05","TestBrokenImagesPage","test_broken_images_page","",""
"Test that adding elements works after deleting all.","1708","test_add_after_removing_all[chromium]","tests","2026-08-05","passed","2026-08-05","TestAddRemoveElementsPage","test_add_remove_elements_page","",""
"
        Test that the new window description text is visible.
        ","3319","test_new_window_description_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that the range slider is visible.
        ","1403","test_range_slider_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestHorizontalSliderPage","test_horizontal_slider_page","",""
"
        Test that the Dynamic Loading heading is visible.
        ","875","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicLoadingPage","test_dynamic_loading_page","",""
"
        Test that all images have non-empty alt text.
        ","13","test_all_images_have_alt_text[chromium]","tests","2026-08-05","passed","2026-08-05","TestBrokenImagesPage","test_broken_images_page","",""
"
        Test that clicking Select All checks all fruit checkboxes.
        ","1471","test_select_all_checks_all_items[chromium]","tests","2026-08-05","passed","2026-08-05","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that clicking Disable disables the text input.
        ","1892","test_disable_text_input[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicControlsPage","test_dynamic_controls_page","",""
"Test that newly created elements display the correct 'Element N' text.","1967","test_button_text[chromium]","tests","2026-08-05","passed","2026-08-05","TestAddRemoveElementsPage","test_add_remove_elements_page","",""
"
        Test that the Dynamic Content heading is visible.
        ","894","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that loaded paragraphs contain text content.
        ","11","test_paragraphs_have_content[chromium]","tests","2026-08-05","passed","2026-08-05","TestInfiniteScrollPage","test_infinite_scroll_page","",""
"
        Test that the stale button is visible on the page.
        ","412","test_stale_button_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestStaleElementPage","test_stale_element_page","",""
"
        Test that the instruction text is visible.
        ","1929","test_instruction_text_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestFileDownloadPage","test_file_download_page","",""
"
        Test that the terms checkbox can be checked.
        ","1932","test_terms_checkbox_can_be_checked[chromium]","tests","2026-08-05","passed","2026-08-05","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that the Drag and Drop heading is visible.
        ","1395","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that the Example 1 content is hidden before clicking Start.
        ","13","test_example1_content_is_hidden_initially[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicLoadingPage","test_dynamic_loading_page","",""
"
        Test that clicking the About tab shows the About content.
        ","1334","test_click_about_tab_shows_content[chromium]","tests","2026-08-05","passed","2026-08-05","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that the input field is visible.
        ","873","test_input_field_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestKeyPressesPage","test_key_presses_page","",""
"
        Test that the Randomize Content button is visible.
        ","1429","test_randomize_button_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that the Context Menu heading is visible.
        ","1406","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestContextMenuPage","test_context_menu_page","",""
"
        Test that the page description and canvas elements are visible.
        ","415","test_description_and_canvas_are_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestChallengingDomPage","test_challenging_dom_page","",""
"
        Test that the stale button has the expected label text.
        ","890","test_stale_button_label_is_correct[chromium]","tests","2026-08-05","passed","2026-08-05","TestStaleElementPage","test_stale_element_page","",""
"
        Test that clicking the Portfolio tab shows the Portfolio content.
        ","1834","test_click_portfolio_tab_shows_content[chromium]","tests","2026-08-05","passed","2026-08-05","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that the card body paragraph for the active A/B version is visible
        and has correct content.
        ","872","test_active_version_card_body_content_is_displayed[chromium]","tests","2026-08-05","passed","2026-08-05","TestABTestingPage","test_ab_testing_page","",""
"
        Test that the Key Presses heading is visible.
        ","1431","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestKeyPressesPage","test_key_presses_page","",""
"
        Test that clicking the Close button dismisses the modal.
        ","2104","test_close_modal[chromium]","tests","2026-08-05","passed","2026-08-05","TestEntryAdPage","test_entry_ad_page","",""
"
        Test that clicking Where am I? displays latitude and longitude values.
        ","913","test_get_location_displays_coordinates[chromium]","tests","2026-08-05","passed","2026-08-05","TestGeolocationPage","test_geolocation_page","",""
"
        Test that the draggable item is in column A initially.
        ","928","test_draggable_item_in_column_a_initially[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that selecting Apple from the simple dropdown updates the confirmation text.
        ","1501","test_simple_dropdown_select_apple[chromium]","tests","2026-08-05","passed","2026-08-05","TestDropdownPage","test_dropdown_page","",""
"
        Test that the original page remains active after closing the new window.
        ","2407","test_original_page_still_active_after_closing_new_window[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that unchecking an individual item unchecks Select All.
        ","1906","test_unchecking_item_unchecks_select_all[chromium]","tests","2026-08-05","passed","2026-08-05","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that the Download File button is visible.
        ","1905","test_download_button_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestFileDownloadPage","test_file_download_page","",""
"
        Test that setting the range slider maximum thumb updates the displayed values.
        ","1598","test_set_range_slider_max[chromium]","tests","2026-08-05","passed","2026-08-05","TestHorizontalSliderPage","test_horizontal_slider_page","",""
"
        Test that clicking JS Confirm and dismissing it shows the Cancel message.
        ","855","test_handle_js_confirm_dismiss[chromium]","tests","2026-08-05","passed","2026-08-05","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that the page heading is visible.
        ","13","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that the floating menu is visible when the page loads.
        ","1405","test_floating_menu_is_visible_on_load[chromium]","tests","2026-08-05","passed","2026-08-05","TestFloatingMenuPage","test_floating_menu_page","",""
"
        Test that the table is visible, has initial rows, and that individual row deletions work.
        ","1054","test_table_structure_and_row_deletion[chromium]","tests","2026-08-05","passed","2026-08-05","TestChallengingDomPage","test_challenging_dom_page","",""
"
        Test that multiple new windows can be opened simultaneously.
        ","3515","test_multiple_new_windows_can_be_opened[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that moving the single slider to a new position updates the displayed value.
        ","2309","test_move_slider_updates_value[chromium]","tests","2026-08-05","passed","2026-08-05","TestHorizontalSliderPage","test_horizontal_slider_page","",""
"
        Test that the iFrame page heading is visible.
        ","410","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestIFramePage","test_iframe_page","",""
"
        Test that hovering over User 2 image shows the caption.
        ","1365","test_user_2_caption_visible_on_hover[chromium]","tests","2026-08-05","passed","2026-08-05","TestHoversPage","test_hovers_page","",""
"
        Test that the See it on Google link appears after getting coordinates.
        ","1849","test_google_maps_link_appears[chromium]","tests","2026-08-05","passed","2026-08-05","TestGeolocationPage","test_geolocation_page","",""
"
        Test that the Dynamic Controls heading is visible.
        ","1390","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicControlsPage","test_dynamic_controls_page","",""
"
        Test that pressing a standard key (A) displays the correct result.
        ","884","test_send_standard_key[chromium]","tests","2026-08-05","passed","2026-08-05","TestKeyPressesPage","test_key_presses_page","",""
"
        Test that parent page content is still accessible while working with iFrame.
        ","2415","test_parent_page_content_accessible[chromium]","tests","2026-08-05","passed","2026-08-05","TestIFramePage","test_iframe_page","",""
"Test removing multiple elements updates the list correctly.","2138","test_remove_multiple_elements[chromium]","tests","2026-08-05","passed","2026-08-05","TestAddRemoveElementsPage","test_add_remove_elements_page","",""
"
        Test valid form submission.
        ","539","test_valid_form_submission[chromium]","tests","2026-08-05","passed","2026-08-05","TestInputsPage","test_inputs_page","",""
"
        Test that clicking Randomize Content changes the displayed images.
        ","1966","test_images_change_on_randomize[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that hovering over the Share menu item triggers the sub-menu.
        ","2406","test_hover_share_item_triggers_sub_menu[chromium]","tests","2026-08-05","passed","2026-08-05","TestContextMenuPage","test_context_menu_page","",""
"
        Test that the Upload button is visible.
        ","1902","test_upload_button_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestFileUploadPage","test_file_upload_page","",""
"
        Test that the static page heading and description text are correct
        regardless of A/B version.
        ","1932","test_page_heading_and_description_text_are_correct[chromium]","tests","2026-08-05","passed","2026-08-05","TestABTestingPage","test_ab_testing_page","",""
"
        Test that scrolling to bottom loads more content.
        ","787","test_scroll_loads_more_content[chromium]","tests","2026-08-05","passed","2026-08-05","TestInfiniteScrollPage","test_infinite_scroll_page","",""
"
        Test that the page heading is visible.
        ","18","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestFileUploadPage","test_file_upload_page","",""
"Verify that the mid resource status banner appears after loading.","15515","test_mid_resource_banner_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestSlowResourcesPage","test_slow_resources_page","",""
"
        Test that the working image loads successfully.
        ","2166","test_working_image_loads_successfully[chromium]","tests","2026-08-05","passed","2026-08-05","TestBrokenImagesPage","test_broken_images_page","",""
"
        Test that dragging the item from column C to column D works.
        ","1496","test_drag_item_from_c_to_d[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that dragging the item from column B to column C works.
        ","1996","test_drag_item_from_b_to_c[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that searching for a non-existent framework shows no results message.
        ","936","test_combobox_search_no_results[chromium]","tests","2026-08-05","passed","2026-08-05","TestDropdownPage","test_dropdown_page","",""
"
        Test that the heading, description, card content, and sign up button are all visible
        for the active A/B version.
        ","1398","test_active_version_elements_are_displayed[chromium]","tests","2026-08-05","passed","2026-08-05","TestABTestingPage","test_ab_testing_page","",""
"
        Test that the instruction text is visible.
        ","879","test_instruction_text_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestHoversPage","test_hovers_page","",""
"
        Test that the Stale Element Monster heading is visible.
        ","881","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestStaleElementPage","test_stale_element_page","",""
"
        Test that clicking the Close button dismisses the modal.
        ","1306","test_close_modal[chromium]","tests","2026-08-05","passed","2026-08-05","TestExitIntentPage","test_exit_intent_page","",""
"Test adding a single element creates exactly one delete button.","1336","test_add_one_element[chromium]","tests","2026-08-05","passed","2026-08-05","TestAddRemoveElementsPage","test_add_remove_elements_page","",""
"
        Test that clicking the Gallery tab shows the Gallery content if the tab is present.
        ","12","test_click_gallery_tab_shows_content_if_present[chromium]","tests","2026-08-05","passed","2026-08-05","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that clicking Add brings the checkbox back.
        ","1392","test_add_checkbox[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicControlsPage","test_dynamic_controls_page","",""
"
        Test that the hot-spot area is visible.
        ","1887","test_hotspot_area_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestContextMenuPage","test_context_menu_page","",""
"
        Test that the iFrame element is present on the page.
        ","1407","test_iframe_is_present[chromium]","tests","2026-08-05","passed","2026-08-05","TestIFramePage","test_iframe_page","",""
"
        Test that both Simple Dropdown and Searchable Combobox headings are visible.
        ","1429","test_headings_are_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDropdownPage","test_dropdown_page","",""
"
        Test that uploading a file displays the uploaded section with the correct file name.
        ","1387","test_upload_file[chromium]","tests","2026-08-05","passed","2026-08-05","TestFileUploadPage","test_file_upload_page","",""
"
        Test that hovering over User 3 image shows the caption.
        ","847","test_user_3_caption_visible_on_hover[chromium]","tests","2026-08-05","passed","2026-08-05","TestHoversPage","test_hovers_page","",""
"
        Test that the Basic Checkboxes heading is visible.
        ","886","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestCheckboxesPage","test_checkboxes_page","",""
"
        Test that the Example 2 finish content displays ""Hello World!"".
        ","4145","test_example2_content_text_is_hello_world[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicLoadingPage","test_dynamic_loading_page","",""
"
        Test that the instruction text is visible.
        ","1391","test_instruction_text_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicContentPage","test_dynamic_content_page","",""
"
        Test that the checkbox is visible on page load.
        ","1394","test_checkbox_is_visible_initially[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicControlsPage","test_dynamic_controls_page","",""
"
        Test that the exit intent modal has the expected title.
        ","1369","test_modal_has_title[chromium]","tests","2026-08-05","passed","2026-08-05","TestExitIntentPage","test_exit_intent_page","",""
"
        Test that the Home tab is always present.
        ","1934","test_home_tab_always_present[chromium]","tests","2026-08-05","passed","2026-08-05","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that the Example 2 finish content is not present before clicking Start.
        ","12","test_example2_content_not_present_initially[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicLoadingPage","test_dynamic_loading_page","",""
"
        Test that clicking the Contact Us tab shows the Contact Us content.
        ","1331","test_click_contact_us_tab_shows_content[chromium]","tests","2026-08-05","passed","2026-08-05","TestDisappearingElementsPage","test_disappearing_elements_page","",""
"
        Test that all rows can be deleted from the table one by one.
        ","3516","test_delete_all_rows[chromium]","tests","2026-08-05","passed","2026-08-05","TestChallengingDomPage","test_challenging_dom_page","",""
"
        Test that clicking Remove removes the checkbox from the DOM.
        ","1335","test_remove_checkbox[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicControlsPage","test_dynamic_controls_page","",""
"
        Test that clicking JS Confirm and accepting it shows the Ok message.
        ","838","test_handle_js_confirm_accept[chromium]","tests","2026-08-05","passed","2026-08-05","TestJavaScriptAlertsPage","test_javascript_alerts_page","",""
"
        Test that the new window content section is visible.
        ","2548","test_new_window_content_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that moving the mouse out of the top of the viewport
        triggers the exit intent modal.
        ","883","test_modal_triggers_on_exit_intent[chromium]","tests","2026-08-05","passed","2026-08-05","TestExitIntentPage","test_exit_intent_page","",""
"
        Test that the page heading is visible.
        ","14","test_page_heading_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestEntryAdPage","test_entry_ad_page","",""
"
        Test that the Example 1 content displays the expected text.
        ","1962","test_example1_content_text_is_correct[chromium]","tests","2026-08-05","passed","2026-08-05","TestDynamicLoadingPage","test_dynamic_loading_page","",""
"
        Test that the floating menu hides when scrolling down.
        ","1565","test_menu_hides_on_scroll_down[chromium]","tests","2026-08-05","passed","2026-08-05","TestFloatingMenuPage","test_floating_menu_page","",""
"
        Test that dragging the item from column A to column D works.
        ","1397","test_drag_item_to_column_d[chromium]","tests","2026-08-05","passed","2026-08-05","TestDragAndDropPage","test_drag_and_drop_page","",""
"
        Test that the Click Here link is visible.
        ","898","test_click_here_link_is_visible[chromium]","tests","2026-08-05","passed","2026-08-05","TestMultipleWindowsPage","test_multiple_windows_page","",""
"
        Test that clicking the Download File button downloads sample-file.txt.
        ","1007","test_download_file[chromium]","tests","2026-08-05","passed","2026-08-05","TestFileDownloadPage","test_file_download_page","",""
"
        Test that the floating menu reappears when scrolling back up.
        ","1767","test_menu_reappears_on_scroll_up[chromium]","tests","2026-08-05","passed","2026-08-05","TestFloatingMenuPage","test_floating_menu_page","",""
